image_file,DOCUMENT_TYPE,BUSINESS_ABN,BUSINESS_ADDRESS,GST_AMOUNT,INVOICE_DATE,IS_GST_INCLUDED,LINE_ITEM_DESCRIPTIONS,LINE_ITEM_QUANTITIES,LINE_ITEM_PRICES,LINE_ITEM_TOTAL_PRICES,PAYER_ADDRESS,PAYER_NAME,STATEMENT_DATE_RANGE,SUPPLIER_NAME,TOTAL_AMOUNT,TRANSACTION_AMOUNTS_PAID,TRANSACTION_DATES,TRANSACTION_AMOUNTS_RECEIVED,ACCOUNT_BALANCE
cba_date_grouped.png,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,TELSTRA MOBILE SERVICES SYDNEY AUS | WOOLWORTHS 2847 MELBOURNE VIC AUS | SHELL SERVICE STATION RICHMOND VIC | NETFLIX SUBSCRIPTION | Transfer from xx8765 CommBank app | CAFE LATTE FITZROY VIC AUS | SALARY DEPOSIT ACME PTY LTD | Transfer to xx2468 CommBank app | COLES SUPERMARKET CARLTON VIC | PARKING METERS MELBOURNE VIC | RENT PAYMENT REAL ESTATE | Transfer from xx8765 CommBank app | CHEMIST WAREHOUSE MELBOURNE VIC,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,SARAH JOHNSON,18 Mar 2024 - 14 Apr 2024,Commonwealth Bank,NOT_FOUND,$48.50 | $127.35 | $89.60 | $22.99 | NOT_FOUND | $18.50 | NOT_FOUND | $2000.00 | $156.78 | $15.00 | $1850.00 | NOT_FOUND | $54.64,18/03/2024 | 19/03/2024 | 20/03/2024 | 22/03/2024 | 25/03/2024 | 28/03/2024 | 01/04/2024 | 03/04/2024 | 05/04/2024 | 08/04/2024 | 10/04/2024 | 12/04/2024 | 14/04/2024,NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | $500.00 | NOT_FOUND | $3500.00 | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | $75.00 | NOT_FOUND,NOT_FOUND
cba_date_grouped_cont.png,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,RESTAURANT DINING SOUTHBANK VIC A | BOOKSTORE MELBOURNE CBD AU AUS | GYM MEMBERSHIP FITNESS FIRST VIC AU A | AUTO SERVICES BRUNSWICK AU AUS | Transfer from xx8765 CommBank app | HARDWARE STORE BUNNINGS VIC AU | ELECTRONICS STORE JB HIFI AU AUS | Transfer from xx9012 CommBank app | Transfer to xx5432 CommBank app | Transfer to xx1984 CommBank app | Transfer to xx7654 CommBank app | PHARMACY CHEMIST MELBOURNE VIC | Direct Debit INSURANCE PREMIUM | Transfer from xx7654 CommBank app | STREAMING SERVICE SPOTIFY AUS | PET SUPPLIES PETBARN RICHMOND VIC | Transfer from xx8765 CommBank app | Transfer from xx2255 CommBank app | UTILITIES ELECTRICITY BILL | Transfer from xx7654 CommBank app | DEPARTMENT STORE MYERS VIC AU,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,SARAH JOHNSON,16 Apr 2024 - 26 May 2024,Commonwealth Bank,NOT_FOUND,$185.00 | $67.40 | $79.99 | $245.00 | NOT_FOUND | $124.85 | $399.00 | NOT_FOUND | $200.00 | $150.00 | $400.00 | $42.30 | $85.50 | NOT_FOUND | $14.99 | $98.75 | NOT_FOUND | NOT_FOUND | $178.60 | NOT_FOUND | $234.90,16/04/2024 | 18/04/2024 | 20/04/2024 | 22/04/2024 | 24/04/2024 | 26/04/2024 | 28/04/2024 | 01/05/2024 | 03/05/2024 | 05/05/2024 | 07/05/2024 | 08/05/2024 | 10/05/2024 | 12/05/2024 | 14/05/2024 | 16/05/2024 | 18/05/2024 | 20/05/2024 | 22/05/2024 | 24/05/2024 | 26/05/2024,NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | $80.00 | NOT_FOUND | NOT_FOUND | $1500.00 | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | $50.00 | NOT_FOUND | NOT_FOUND | $120.00 | $200.00 | NOT_FOUND | $65.00 | NOT_FOUND,NOT_FOUND
transaction_summary.png,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Opening Balance | GROCERY STORE - Card ending: 8934 Interest Free Until 25 May 2024 | ONLINE RETAILER - Card ending: 8934 Interest Free Until 27 May 2024 | International Transaction Fee - Card ending: 8934 Interest Free Until 27 May 2024 | Payment | Interest Charge (01/03/2024 to 05/03/2024) | ELECTRONICS.COM - Card ending: 5621 Interest Free Until 08 Jun 2024 | SUBSCRIPTION SERVICE - Card ending: 5621 Interest Free Until 12 Jun 2024 | International Transaction Fee - Card ending: 5621 Interest Free Until 12 Jun 2024 | DEPARTMENT STORE - Card ending: 5621 Interest Free Until 15 Jun 2024 | International Transaction Fee - Card ending: 5621 Interest Free Until 15 Jun 2024 | Monthly Account Fee | RESTAURANT - Card ending: 8934 Interest Free Until 22 Jun 2024 | Payment | Instalment Payment | Instalment Payment | Closing Balance,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,20 Feb 2024 - 18 Apr 2024,NOT_FOUND,NOT_FOUND,NOT_FOUND | $127.85 | $245.60 | $2.46 | NOT_FOUND | $0.00 | $189.99 | $24.95 | $0.25 | $356.40 | $3.56 | $12.95 | $178.50 | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND,20/02/2024 | 25/02/2024 | 27/02/2024 | 27/02/2024 | 02/03/2024 | 05/03/2024 | 08/03/2024 | 12/03/2024 | 12/03/2024 | 15/03/2024 | 15/03/2024 | 18/03/2024 | 22/03/2024 | 28/03/2024 | 30/03/2024 | 02/04/2024 | 18/04/2024,NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | $450.00 | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | $685.00 | $45.20 | $128.75 | NOT_FOUND,$3122.76
cba_highligted.png,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Direct Credit 890543 FOOD DELIVERY | Salary CORPORATION PTY LTD | Salary OpenMinds 456789 | Direct Credit 678901 LOGISTICS CO (A | Direct Credit 890432 RIDESHARE BV | Salary ENTERPRISE | Transfer to xx9876 CommBank app | CLOSING BALANCE,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,21 Mar 2024 - 03 Apr 2024,Commonwealth Bank,NOT_FOUND,NOT_FOUND | $2145.80 | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | $4200.00 | NOT_FOUND,21/03/2024 | 23/03/2024 | 24/03/2024 | 27/03/2024 | 28/03/2024 | 30/03/2024 | 02/04/2024 | 03/04/2024,$458.20 | NOT_FOUND | $850.00 | $325.45 | $178.90 | $1285.65 | NOT_FOUND | NOT_FOUND,$3136.35
low_contrast.png,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Otr Supermarket 9876 Sydney Aus | Otr Convenience 4321 Melbourne Aus | Otr Convenience 4321 Melbourne Aus | Retailstore 8765 Perth Aus | Otr Convenience 4321 Melbourne Aus | Valley Shopping Ct Brisbane Aus | Plaza Hotel Sydney Sydney Cre Aus | Plaza Hotel Sydney Sydney Cre Aus | Department Store Pl Adelaide Aus | Plaza Motorcycl Brisbane Aus | Plaza Hotel Sydney Sydney Cre Aus | Value Retail Pty Newcastle South Aus | Office Supplies Brisbane Aus | Valley Shop Brisbane Aus | Brisbane Store Brisbane Aus | Value Family Trust Brisbane Aus,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,05 Sep 2023 - 10 Sep 2023,NOT_FOUND,NOT_FOUND,$45.80 | $28.45 | $15.90 | $12.35 | $34.60 | $67.00 | $89.00 | $23.50 | $156.95 | $245.00 | $389.00 | $12.80 | $78.45 | $45.30 | $23.90 | $890.00,05/09/2023 | 06/09/2023 | 06/09/2023 | 07/09/2023 | 07/09/2023 | 07/09/2023 | 07/09/2023 | 07/09/2023 | 07/09/2023 | 07/09/2023 | 07/09/2023 | 08/09/2023 | 08/09/2023 | 09/09/2023 | 10/09/2023 | 10/09/2023,NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND,NOT_FOUND
nab_classic_highligted.png,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Brought forward | Auto Services | EFTPOS 18/06 Fresh Grocers | V1056 18/06 Farmland Markets | Pizza Delivery | V1056 18/06 The Restaurant | V1056 16/06 Gas Station 890000 | V1056 Depot | Auto Repair | V1056 20/06 The Restaurant | V1056 Farmland Markets | V1056 20/06 City Square | V1056 20/06 The Restaurant | V1056 Depot Retail No | V1056 21/06 Shopping Complex | V1056 Retail Parkchester Rd Beer | V1056 19/06 Fast Food Chain North | V1056 22/06 Market Street | V1056 24/06 Retail S Fashion | V1056 21/06 Department Plaza,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,EMMA WILSON,22 Mar 2024 - 25 Mar 2024,NAB Classic Banking,NOT_FOUND,NOT_FOUND | $315.60 | $34.85 | $89.75 | $45.50 | $125.00 | $78.40 | $345.60 | NOT_FOUND | $67.80 | $56.90 | $234.50 | $89.60 | $145.80 | $267.40 | $78.90 | $45.80 | $123.60 | $189.50 | $356.20,22/03/2024 | 22/03/2024 | 22/03/2024 | 23/03/2024 | 23/03/2024 | 23/03/2024 | 23/03/2024 | 23/03/2024 | 23/03/2024 | 24/03/2024 | 24/03/2024 | 24/03/2024 | 24/03/2024 | 24/03/2024 | 24/03/2024 | 24/03/2024 | 24/03/2024 | 24/03/2024 | 25/03/2024 | 25/03/2024,NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | $580.00 | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND,NOT_FOUND
cba_amount_balance.png,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,GROCERY MARKET SUBURB NSW AUS | DEPARTMENT STORE SHOPPING DIST NS AUS | CAFE CENTRAL T 54321F SUBURB AUS | CAFE CENTRAL T 54321F SUBURB AUS | ONLINE RETAILER.COM SYDNEY AU AUS | SERVICE STATION SUBURB NS AUS | SERVICE STATION SUBURB NS AUS | ONLINE SUBSCRIPTION SYDNEY AU AUS | ONLINE SUBSCRIPTION SYDNEY AU AUS | ELECTRONICS 9876 SUBURB NSW AUS | PHARMACY SERVICES MELBOURNE AUS | BOOKSTORE 2345 SYDNEY AUS,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,03 Jun 2023 - 14 Jun 2023,NOT_FOUND,NOT_FOUND,$78.90 | $345.80 | $24.50 | $31.20 | $18.95 | $95.40 | $28.60 | $89.00 | $145.50 | $567.30 | $42.85 | $234.90,03/06/2023 | 04/06/2023 | 06/06/2023 | 06/06/2023 | 07/06/2023 | 08/06/2023 | 08/06/2023 | 09/06/2023 | 09/06/2023 | 10/06/2023 | 12/06/2023 | 14/06/2023,NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND,NOT_FOUND
cba_debit_credit.png,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Direct Debit 987654 Loan Repayment | RETAIL STORE SUBURB AU | SUPERMARKET SHOPPING SUBURB AU | SHOPPING SUBURB SUBURB AU | SHOPPING SUBURB SUBURB AU | Store RSL Suburb0 AU | Transfer To financially sorted | GROCERY STORE SUBURB AU | PETROL STATION SUBURB VICAU | RETAIL STORES SUBURB VICAU | DEPARTMENT STORE PTY LTD SUBURB VIC AU | RETAIL STORES EASTLINK VIC SUBURB AU | RETAIL STORE PTY LTD Suburb VICAU | RETAIL STORE PTY LTD Suburb VICAU | Direct Credit 876543 Wage Payment | Afterpay afterpay.com AU AUS,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,20 May 2024 - 24 May 2024,NOT_FOUND,NOT_FOUND,$178.50 | $245.00 | $89.95 | $34.50 | $67.00 | $145.80 | $450.00 | $124.00 | $78.90 | $56.40 | $1456.80 | $67.75 | $89.25 | $45.80 | NOT_FOUND | $234.90,20/05/2024 | 21/05/2024 | 21/05/2024 | 21/05/2024 | 21/05/2024 | 21/05/2024 | 21/05/2024 | 22/05/2024 | 22/05/2024 | 22/05/2024 | 23/05/2024 | 23/05/2024 | 23/05/2024 | 23/05/2024 | 23/05/2024 | 24/05/2024,NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | $3450.00 | NOT_FOUND,NOT_FOUND
westpac_debit_credit.png,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Stores Melbourne T2 | Sydney Domest AUS | SUBURB NSW ETOLL | RETAIL STORE SUBURB | SHOPPING CENTRE SUBURB | AUTOMOTIVE SERVICE | CAFE PTY LTD | PHARMACY PTY LTD | RESTAURANT 2347F | FUEL AUSTRALIA PTY | C90123 TFR FROM Westpac Choice | CRED VOUCHER | C012 Y'12-10684-33234 Sydney AUS | INSURANCE CO SYDNEY AUS | RETAIL HOTEL PTY LTD LOCATION AUS | C30815 TFR FROM Westpac Choice | RETAIL AUSTRALIA PTY | CASH ADVANCE | SPORTING PTY LTD | C6000 TFR FROM Westpac Choice | RETAIL BRANDS AU SUBURB AUS | PARKING PTY LTD SUBURB AUS | DINING BAHAMA SUBURB AUS | RETAIL SERVICES 1849 SUBURB AUS | RETAIL COMPANY 1849 SUBURB AUS | SHOPPING AUSTRALIA SUBURB AUS | RETAIL STORES SUBURB AUS | SERVICES*123 Accounting SUBURB AUS | RETAIL INDUSTRIAL SUBURB EAST AUS | RETAIL STORE 22478F SUBURB AUS | CAFE STORE 22478F SUBURB AUS | AUTOMOTIVE SERVICE SUBURB AUS | RETAIL STORE FT SUBURB H LOCATION AUS | RETAIL STORE'S 1849 SUBURB AUS | RETAIL STORE EPARK ONL28 SUBURB 28 AUS | CRED VOUCHER | RETAIL STORE EPARK ONL28 SUBURB 28 AUS | INTEREST CHARGES - CASH,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,28 Nov 2023 - 26 Dec 2023,Westpac,NOT_FOUND,$12.50 | $89.45 | $45.90 | $234.80 | $67.30 | $156.70 | $28.95 | $78.40 | $145.60 | $456.80 | NOT_FOUND | NOT_FOUND | NOT_FOUND | $345.90 | $789.50 | NOT_FOUND | $456.80 | $750.00 | $89.80 | NOT_FOUND | $78.40 | $45.38 | $234.00 | $189.50 | $567.80 | $234.00 | $89.45 | $678.05 | $456.60 | $234.51 | $189.72 | $1245.49 | $356.00 | $89.70 | $234.83 | NOT_FOUND | NOT_FOUND | $1.45,28/11/2023 | 28/11/2023 | 28/11/2023 | 30/11/2023 | 30/11/2023 | 01/12/2023 | 01/12/2023 | 03/12/2023 | 03/12/2023 | 03/12/2023 | 06/12/2023 | 06/12/2023 | 06/12/2023 | 06/12/2023 | 06/12/2023 | 07/12/2023 | 07/12/2023 | 07/12/2023 | 07/12/2023 | 10/12/2023 | 12/12/2023 | 12/12/2023 | 12/12/2023 | 13/12/2023 | 18/12/2023 | 18/12/2023 | 18/12/2023 | 20/12/2023 | 20/12/2023 | 22/12/2023 | 22/12/2023 | 22/12/2023 | 22/12/2023 | 22/12/2023 | 23/12/2023 | 23/12/2023 | 23/12/2023 | 26/12/2023,NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | $2500.00 | $234.85 | $2850.00 | NOT_FOUND | NOT_FOUND | $3200.00 | NOT_FOUND | NOT_FOUND | NOT_FOUND | $1800.00 | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | NOT_FOUND | $267.40 | NOT_FOUND | NOT_FOUND,NOT_FOUND
cba_home_loan.png,BANK_STATEMENT,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,Repayment/Payment NetBank Backdated to 25/10/25 | Repayment/Payment NetBank Backdated to 25/10/25 | Repayment Redraw NetBank Backdated to 25/10/25 | Interest charged | Repayment/Payment | 13/11/25 Reversal of a transaction made 13/11/25 | Interest charged | Closing balance,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,27 Oct 2025 - 16 Nov 2025,Commonwealth Bank,NOT_FOUND,$54.00 | NOT_FOUND | NOT_FOUND | $85.94 | NOT_FOUND | $0.02 | $0.03 | NOT_FOUND,27/10/2025 | 27/10/2025 | 27/10/2025 | 02/11/2025 | 04/11/2025 | 13/11/2025 | 13/11/2025 | 16/11/2025,NOT_FOUND | $24752.42 | $27.00 | NOT_FOUND | $85.99 | NOT_FOUND | NOT_FOUND | NOT_FOUND,Nil
