image_file,DOCUMENT_TYPE,BUSINESS_ABN,SUPPLIER_NAME,BUSINESS_ADDRESS,PAYER_NAME,PAYER_ADDRESS,INVOICE_DATE,LINE_ITEM_DESCRIPTIONS,LINE_ITEM_QUANTITIES,LINE_ITEM_PRICES,LINE_ITEM_TOTAL_PRICES,IS_GST_INCLUDED,GST_AMOUNT,TOTAL_AMOUNT,STATEMENT_DATE_RANGE,TRANSACTION_DATES,TRANSACTION_AMOUNTS_PAID
CASE001_cba_standard.png,BANK_STATEMENT,NOT_FOUND,Commonwealth Bank,NOT_FOUND,Sarah Johnson,NOT_FOUND,NOT_FOUND,EFTPOS TARGET Alexandria AUS | BPAY ORIGIN ENERGY CRN 203848421 | VISA DEBIT PURCHASE Myer Alexandria AU | ATM WITHDRAWAL Alexandria | BPAY TELSTRA CRN 349957310 | VISA DEBIT PURCHASE CHEMIST WHSE Alexandria AU | BPAY ORIGIN ENERGY CRN 781802744 | VISA DEBIT PURCHASE BUNNINGS W/HOUSE Alexandria AU | VISA DEBIT PURCHASE Big W Alexandria AU | EFTPOS OFFICEWORKS Alexandria AUS | EFTPOS DAN MURPHYS Alexandria AUS | Transfer To James NetBank | EFTPOS AMPOL Alexandria AUS | EFTPOS TARGET Alexandria AUS | EFTPOS JB HI-FI Alexandria AUS | BPAY SMITH ASSOCIATES CRN 890779946 | EFTPOS JB HI-FI Alexandria AUS | BPAY TELSTRA CRN 753876785 | EFTPOS AMPOL Alexandria AUS | BPAY TELSTRA CRN 162196678 | EFTPOS BP Alexandria AUS | Salary ATO PAYROLL REF79163 | Salary ATO PAYROLL REF50857 | EFTPOS DAN MURPHYS Alexandria AUS | Transfer To David NetBank | VISA DEBIT PURCHASE Big W Alexandria AU | EFTPOS JB HI-FI Alexandria AUS | Transfer To Mia NetBank | EFTPOS TARGET Alexandria AUS | DD AGL REF54473 MHF 1234 | EFTPOS OFFICEWORKS Alexandria AUS | BPAY ORIGIN ENERGY CRN 967607278 | EFTPOS COLES Alexandria AUS,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,01/01/2023 - 31/01/2023,01/01/2023 | 01/01/2023 | 02/01/2023 | 03/01/2023 | 03/01/2023 | 04/01/2023 | 05/01/2023 | 08/04/2023 | 07/01/2023 | 08/01/2023 | 08/01/2023 | 08/01/2023 | 08/01/2023 | 09/01/2023 | 14/01/2023 | 17/04/2023 | 15/01/2023 | 17/01/2023 | 18/01/2023 | 18/01/2023 | 18/01/2023 | 19/01/2023 | 19/01/2023 | 20/01/2023 | 21/01/2023 | 22/01/2023 | 23/01/2023 | 23/01/2023 | 24/01/2023 | 24/01/2023 | 26/01/2023 | 28/01/2023 | 29/01/2023,NOT_FOUND | $212.93 | $233.34 | $51.04 | $174.00 | $405.40 | $440.18 | $34.16 | NOT_FOUND | $396.71 | $449.54 | $139.40 | NOT_FOUND | $361.57 | $77.59 | $6493.84 | $548.45 | NOT_FOUND | $21.49 | NOT_FOUND | $84.20 | $367.89 | NOT_FOUND | $142.57 | $14.24 | $204.95 | $436.78 | NOT_FOUND | $519.66 | $518.39 | $118.26 | $39.85 | NOT_FOUND
CASE001_receipt_thermal_80mm.png,RECEIPT,77 875 234 574,Bunnings Warehouse,"123 Main St, Alexandria NSW 2015",NOT_FOUND,NOT_FOUND,08/04/2023,Wine Red 750ml,2,$17.08,$34.16,true,$3.11,$34.16,NOT_FOUND,NOT_FOUND,NOT_FOUND
CASE001_tax_invoice_standard.png,INVOICE,19 863 740 117,Smith & Associates Accounting,"Level 12, 100 Collins St, Melbourne VIC 3000",Sarah Johnson,"17 Alexandria St, Alexandria NSW 2015",17/04/2023,Business strategy consulting | Trademark registration,2 | 7,$510.11 | $697.61,$1020.22 | $4883.27,false,$590.35,$6493.84,NOT_FOUND,NOT_FOUND,NOT_FOUND
CASE002_cba_date_grouped.png,BANK_STATEMENT,NOT_FOUND,Westpac,NOT_FOUND,Michael Chen,NOT_FOUND,NOT_FOUND,DD INSURANCE REF86569 | EFTPOS BUNNINGS W/HOUSE Hawthorn East AUS | VISA DEBIT PURCHASE SHELL Hawthorn East AU | BPAY ORIGIN ENERGY CRN 805849060 | EFTPOS OFFICEWORKS Hawthorn East AUS | EFTPOS DAN MURPHYS Hawthorn East AUS | DD AGL REF37938 MHF 1234 | BPAY ORIGIN ENERGY CRN 496776692 | BPAY TELSTRA CRN 966616964 | BPAY TELSTRA CRN 244193987 | EFTPOS WOOLWORTHS Hawthorn East AUS | EFTPOS JB HI-FI Hawthorn East AUS | EFTPOS TARGET Hawthorn East AUS | EFTPOS JB HI-FI Hawthorn East AUS | DD AGL REF29536 MHF 1234 | Salary ATO PAYROLL REF26704 | VISA DEBIT PURCHASE Shell Austra Hawthorn East AU | Salary ATO PAYROLL REF30257 | BPAY JOHNSON LEGAL CRN 200604502 | EFTPOS TARGET Hawthorn East AUS | VISA DEBIT PURCHASE David Jones Hawthorn East AU | VISA DEBIT PURCHASE SHELL Hawthorn East AU | BPAY ORIGIN ENERGY CRN 477040284 | Salary ATO PAYROLL REF25118 | EFTPOS JB HI-FI Hawthorn East AUS | EFTPOS TARGET Hawthorn East AUS,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,01/07/2023 - 31/07/2023,01/07/2023 | 02/07/2023 | 05/07/2023 | 17/10/2024 | 07/07/2023 | 07/07/2023 | 09/07/2023 | 10/07/2023 | 10/07/2023 | 13/07/2023 | 13/07/2023 | 14/07/2023 | 15/07/2023 | 16/07/2023 | 18/07/2023 | 19/07/2023 | 22/07/2023 | 23/07/2023 | 10/04/2023 | 24/07/2023 | 26/07/2023 | 26/07/2023 | 26/07/2023 | 30/07/2023 | 31/07/2023 | 31/07/2023,$306.68 | NOT_FOUND | $351.56 | $279.13 | NOT_FOUND | $280.39 | NOT_FOUND | NOT_FOUND | $14.62 | NOT_FOUND | $433.39 | $545.81 | $464.96 | $426.34 | $31.26 | $191.87 | NOT_FOUND | $558.63 | $8026.87 | $423.75 | $551.89 | $245.09 | $245.81 | NOT_FOUND | $213.96 | $540.71
CASE002_receipt_thermal_57mm.png,RECEIPT,48 424 650 338,Woolworths,"100 George St, Sydney NSW 2000",NOT_FOUND,NOT_FOUND,14/10/2024,Potting Mix 25L | Batteries AA 8pk | Drill Bit Set | USB Hub 4-port | Pens Ballpoint 10pk | Wine Red 750ml,1 | 2 | 2 | 3 | 3 | 3,$12.12 | $11.46 | $33.35 | $29.97 | $8.19 | $20.97,$12.12 | $22.92 | $66.70 | $89.91 | $24.57 | $62.91,true,$25.38,$279.13,NOT_FOUND,NOT_FOUND,NOT_FOUND
CASE002_tax_invoice_gst_inclusive.png,INVOICE,40 630 753 161,Johnson Legal,"Suite 5, 200 George St, Sydney NSW 2000",Michael Chen,"24 Hawthorn East St, Hawthorn East VIC 3123",09/04/2023,Accounting and bookkeeping | Website design and development | Financial planning services,5 | 3 | 6,$155.99 | $1521.48 | $325.46,$779.95 | $4564.44 | $1952.76,false,$729.72,$8026.87,NOT_FOUND,NOT_FOUND,NOT_FOUND
CASE003_receipt_retail_tax.png,RECEIPT,96 090 834 266,Coles,"800 Toorak Rd, Hawthorn East VIC 3123",NOT_FOUND,NOT_FOUND,28/11/2023,Chicken Breast 500g | Motor Oil 5L | Pens Ballpoint 10pk | Drill Bit Set | HDMI Cable 2m,1 | 3 | 2 | 2 | 1,$8.45 | $39.81 | $8.51 | $62.10 | $15.59,$8.45 | $119.43 | $17.02 | $124.20 | $15.59,true,$25.88,$284.69,NOT_FOUND,NOT_FOUND,NOT_FOUND
CASE003_tax_invoice_high_value.png,INVOICE,61 603 574 768,Brisbane IT Solutions,"42 Creek St, Brisbane QLD 4000",Emma Williams,"26 Fortitude Valley St, Fortitude Valley QLD 4006",02/11/2024,Professional consultation services | Software development services,1 | 4,$317.08 | $145.90,$317.08 | $583.60,false,$90.07,$990.75,NOT_FOUND,NOT_FOUND,NOT_FOUND
CASE003_westpac_standard.png,BANK_STATEMENT,NOT_FOUND,National Australia Bank,NOT_FOUND,Emma Williams,NOT_FOUND,NOT_FOUND,EFTPOS BUNNINGS W/HOUSE Fortitude Valley AUS | BPAY TELSTRA CRN 561588882 | EFTPOS DAN MURPHYS Fortitude Valley AUS | EFTPOS BUNNINGS W/HOUSE Fortitude Valley AUS | VISA DEBIT PURCHASE SHELL Fortitude Valley AU | EFTPOS BP Fortitude Valley AUS | EFTPOS OFFICEWORKS Fortitude Valley AUS | DD AGL REF33053 MHF 1234 | VISA DEBIT PURCHASE Spotlight Fortitude Valley AU | EFTPOS AMPOL Fortitude Valley AUS | EFTPOS AMPOL Fortitude Valley AUS | EFTPOS BP Fortitude Valley AUS | EFTPOS AMPOL Fortitude Valley AUS | EFTPOS COLES Fortitude Valley AUS | VISA DEBIT PURCHASE SHELL Fortitude Valley AU | DD INSURANCE REF64496 | Transfer To Olivia NetBank | BPAY TELSTRA CRN 997356828 | ATM WITHDRAWAL Fortitude Valley | DD INSURANCE REF31632 | ATM WITHDRAWAL Fortitude Valley | EFTPOS TARGET Fortitude Valley AUS | EFTPOS DAN MURPHYS Fortitude Valley AUS | EFTPOS JB HI-FI Fortitude Valley AUS | VISA DEBIT PURCHASE CHEMIST WHSE Fortitude Valley AU | EFTPOS COLES Fortitude Valley AUS | DD AGL REF70952 MHF 1234 | ATM WITHDRAWAL Fortitude Valley | DD AGL REF50888 MHF 1234 | EFTPOS KMART Fortitude Valley AUS | BPAY TELSTRA CRN 964929067 | VISA DEBIT PURCHASE CHEMIST WHSE Fortitude Valley AU | EFTPOS COLES Fortitude Valley AUS | EFTPOS DAN MURPHYS Fortitude Valley AUS | ATM WITHDRAWAL Fortitude Valley | EFT PAYMENT BRISBANE IT SOLUTIONS | EFTPOS DAN MURPHYS Fortitude Valley AUS | DD INSURANCE REF37802,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,NOT_FOUND,01/01/2024 - 31/01/2024,01/01/2024 | 03/01/2024 | 04/01/2024 | 05/01/2024 | 07/01/2024 | 07/01/2024 | 10/01/2024 | 10/01/2024 | 10/01/2024 | 11/01/2024 | 11/01/2024 | 11/01/2024 | 12/01/2024 | 28/11/2023 | 14/01/2024 | 14/01/2024 | 17/01/2024 | 17/01/2024 | 18/01/2024 | 18/01/2024 | 20/01/2024 | 22/01/2024 | 22/01/2024 | 22/01/2024 | 22/01/2024 | 22/01/2024 | 23/01/2024 | 24/01/2024 | 24/01/2024 | 24/01/2024 | 24/01/2024 | 26/01/2024 | 28/01/2024 | 29/01/2024 | 30/01/2024 | 02/11/2024 | 31/01/2024 | 31/01/2024,NOT_FOUND | $396.28 | $541.70 | $383.44 | $24.41 | $254.52 | $97.07 | $575.20 | $88.67 | $535.94 | $539.35 | $386.22 | $269.52 | $284.69 | $136.23 | $132.03 | $291.42 | NOT_FOUND | $267.14 | $285.76 | $342.99 | $163.49 | $453.69 | NOT_FOUND | NOT_FOUND | $99.91 | $161.18 | $493.39 | NOT_FOUND | NOT_FOUND | $590.47 | $50.68 | $265.78 | $317.83 | $266.99 | $990.75 | $208.47 | $480.72
CASE004_receipt_fuel.png,RECEIPT,65 589 283 147,Officeworks,"245 Bourke St, Melbourne VIC 3000",NOT_FOUND,NOT_FOUND,14/10/2024,Sparkling Water 12pk | Milk 2L | Shampoo 400ml | Drill Bit Set,3 | 1 | 3 | 3,$11.93 | $3.63 | $5.92 | $77.19,$35.79 | $3.63 | $17.76 | $231.57,true,$26.25,$288.75,NOT_FOUND,NOT_FOUND,NOT_FOUND
